,af-en,am-en,ar-en,az-en,be-en,bg-en,bn-en,bs-en,ca-en,ceb-en,co-en,cs-en,cy-en,da-en,de-en,el-en,en-af,en-am,en-ar,en-az,en-be,en-bg,en-bn,en-bs,en-ca,en-ceb,en-co,en-cs,en-cy,en-da,en-de,en-el,en-eo,en-es,en-et,en-eu,en-fa,en-fi,en-fr,en-fy,en-ga,en-gd,en-gl,en-gu,en-ha,en-haw,en-hi,en-hmn,en-hr,en-ht,en-hu,en-hy,en-id,en-ig,en-is,en-it,en-iw,en-ja,en-jw,en-ka,en-kk,en-km,en-kn,en-ko,en-ku,en-ky,en-lb,en-lo,en-lt,en-lv,en-mg,en-mi,en-mk,en-ml,en-mn,en-mr,en-ms,en-mt,en-my,en-ne,en-nl,en-no,en-ny,en-pa,en-pl,en-ps,en-pt,en-ro,en-ru,en-sd,en-si,en-sk,en-sl,en-sm,en-sn,en-so,en-sq,en-sr,en-st,en-su,en-sv,en-sw,en-ta,en-te,en-tg,en-th,en-tl,en-tr,en-uk,en-ur,en-uz,en-vi,en-xh,en-yi,en-yo,en-zh,en-zu,eo-en,es-en,et-en,eu-en,fa-en,fi-en,fr-en,fy-en,ga-en,gd-en,gl-en,gu-en,ha-en,haw-en,hi-en,hmn-en,hr-en,ht-en,hu-en,hy-en,id-en,ig-en,is-en,it-en,iw-en,ja-en,jw-en,ka-en,kk-en,km-en,kn-en,ko-en,ku-en,ky-en,lb-en,lo-en,lt-en,lv-en,mg-en,mi-en,mk-en,ml-en,mn-en,mr-en,ms-en,mt-en,my-en,ne-en,nl-en,no-en,ny-en,pa-en,pl-en,ps-en,pt-en,ro-en,ru-en,sd-en,si-en,sk-en,sl-en,sm-en,sn-en,so-en,sq-en,sr-en,st-en,su-en,sv-en,sw-en,ta-en,te-en,tg-en,th-en,tl-en,tr-en,uk-en,ur-en,uz-en,vi-en,xh-en,yi-en,yo-en,zh-en,zu-en
hmn-en,0.633265894,0.609529804,0.615647692,0.632313396,0.621955958,0.628806395,0.60875774,0.626039506,0.626643041,0.64684261,0.630570051,0.62509743,0.639820976,0.639260351,0.627193153,0.631999086,0.655207857,0.655209002,0.655207157,0.655208149,0.655213007,0.655208671,0.65521561,0.655209283,0.655206885,0.655219804,0.655214358,0.655207144,0.655210332,0.655217029,0.655213411,0.655213567,0.655215853,0.655210158,0.65521091,0.655209115,0.655208499,0.655211551,0.655211169,0.655212773,0.655215589,0.655215802,0.655220088,0.655215992,0.655220887,0.655221993,0.655211595,0.655213659,0.655206447,0.655209378,0.655212626,0.655216645,0.65520488,0.655215034,0.655213456,0.655211557,0.655213777,0.655204393,0.655210244,0.655212442,0.655207226,0.655217896,0.655210365,0.655211207,0.655215391,0.655211095,0.655217112,0.655209531,0.655211509,0.655213942,0.655218205,0.655211124,0.655207316,0.655214387,0.655209019,0.655210756,0.655209694,0.655210966,0.655217101,0.655215117,0.655210209,0.655212695,0.655219574,0.655217899,0.655209963,0.655219058,0.655212961,0.655208879,0.655206,0.655219499,0.655212667,0.655212368,0.655209466,0.655213008,0.655216861,0.655214729,0.655212569,0.655213667,0.655213455,0.655209129,0.655216288,0.655214258,0.655212871,0.65521104,0.655209724,0.65520918,0.655214296,0.655203996,0.65520486,0.655222174,0.655206738,0.655210691,0.65521665,0.655215176,0.655213492,0.655208496,0.655210622,0.636560496,0.629968615,0.625328669,0.629272128,0.630629288,0.625355876,0.629379643,0.641455387,0.635164766,0.652071522,0.628029222,0.624847493,0.640092358,0.664209195,0.619962376,1,0.62627899,0.642961992,0.625249346,0.632406554,0.644968948,0.640523022,0.63255978,0.630118454,0.614805939,0.629973513,0.645778925,0.632420514,0.625021378,0.598564386,0.621913181,0.638955159,0.640731601,0.627472311,0.635829382,0.674330929,0.617926467,0.626097141,0.636938862,0.652054364,0.62635651,0.60679635,0.629450479,0.61036497,0.642185026,0.627568916,0.644849516,0.620469031,0.634137624,0.638924621,0.640062784,0.625546593,0.628303125,0.628348989,0.632838975,0.631696502,0.619462523,0.611961133,0.611450433,0.624013271,0.626021538,0.658028736,0.627906698,0.622418981,0.638597879,0.635752629,0.643527386,0.64815774,0.634376556,0.639868691,0.618112414,0.62462548,0.634288137,0.645899423,0.644422692,0.630641296,0.62154814,0.616397208,0.62590525,0.657025931,0.617315876,0.627092231,0.665225617,0.632334392,0.621917034
hr-en,0.629327669,0.609429849,0.61443797,0.622401299,0.623318848,0.632553065,0.618997242,0.957213231,0.627740288,0.626750755,0.625353391,0.634640491,0.627167443,0.634205444,0.626092755,0.625678932,0.640727196,0.640729199,0.640726161,0.640725765,0.640733086,0.640724505,0.640737296,0.640724687,0.640728689,0.640732324,0.640729637,0.640728964,0.640724521,0.640728478,0.640731984,0.640722992,0.640727265,0.640725569,0.640721511,0.640730383,0.640734567,0.640723698,0.640729894,0.640732138,0.640727164,0.640731813,0.640728958,0.640733705,0.640735604,0.640730874,0.640724107,0.640728353,0.640725531,0.640736185,0.640723238,0.640723231,0.640727797,0.640733007,0.640727464,0.640723824,0.640729796,0.640730507,0.640735871,0.640728576,0.640719815,0.640731792,0.640737475,0.640732198,0.640731842,0.64072724,0.640733635,0.640733453,0.64071991,0.640717953,0.640731344,0.640731168,0.640728258,0.640735981,0.640727431,0.640734294,0.64072837,0.640723265,0.640734137,0.640733544,0.640728853,0.640724226,0.640726664,0.640732111,0.640730743,0.640730051,0.640723958,0.640721716,0.640729389,0.640728095,0.640729164,0.640728225,0.640728156,0.640731538,0.640722461,0.640725224,0.640721059,0.640722504,0.640729985,0.640731774,0.64073494,0.640723954,0.640729441,0.640737978,0.640725228,0.640730871,0.640732689,0.640726564,0.640729347,0.640734914,0.640725904,0.640727914,0.64072808,0.640733007,0.640728959,0.640728431,0.640731358,0.632778737,0.630124494,0.625406861,0.624785174,0.623550884,0.625300602,0.627329945,0.633213899,0.623035982,0.629017045,0.629847791,0.619921307,0.617121544,0.625229438,0.619838277,0.62627899,1,0.626148494,0.623963641,0.623716562,0.633333855,0.613029595,0.625769908,0.629637405,0.614820856,0.621457497,0.629949951,0.620493986,0.619542027,0.608560099,0.620603328,0.622891914,0.622662826,0.617168295,0.628712982,0.625392791,0.623805766,0.628690063,0.620269743,0.619643543,0.636211476,0.611701528,0.618963555,0.613857969,0.628414375,0.623041559,0.616203,0.616361434,0.631545076,0.634830384,0.61955447,0.619442679,0.633912225,0.622379284,0.632313985,0.6323363,0.624997365,0.610973134,0.613371386,0.632715016,0.65442562,0.620069826,0.612633796,0.6117402,0.633290095,0.703110872,0.620787094,0.630010056,0.631725926,0.623670069,0.618523789,0.615825496,0.621944692,0.626760126,0.628617051,0.623550361,0.624952642,0.615695998,0.621094758,0.626925153,0.609606333,0.614935142,0.628208032,0.623516962,0.614976208
ht-en,0.633268543,0.610334928,0.615382434,0.626334989,0.619322012,0.62976619,0.621332812,0.626619066,0.630941149,0.636101909,0.633748729,0.623835601,0.634764941,0.638878045,0.626441037,0.626555859,0.658284764,0.658285572,0.658281331,0.658284626,0.658280273,0.658278843,0.658283525,0.658279006,0.658277871,0.658284739,0.658281871,0.658276599,0.658277812,0.658282065,0.65828213,0.658278825,0.658279601,0.658274675,0.658285819,0.658284769,0.658285595,0.658283787,0.658275836,0.658287748,0.658284368,0.658284067,0.658280909,0.658286468,0.658290168,0.658291216,0.658286876,0.658287141,0.658281171,0.658277569,0.658286621,0.658282385,0.658286794,0.658286152,0.658280964,0.658274213,0.658282821,0.658277507,0.658284432,0.658280399,0.658278579,0.658286461,0.658280008,0.658283244,0.658288627,0.658280235,0.6582855,0.658287011,0.658281241,0.658283954,0.65828867,0.65828601,0.658275185,0.658281332,0.658277595,0.658282317,0.658281687,0.658283572,0.658285509,0.658281607,0.658287284,0.658279688,0.658285397,0.658285133,0.658278176,0.658287851,0.658279031,0.658281598,0.658276426,0.658283993,0.65828277,0.658279353,0.658281544,0.658283615,0.658285352,0.658282393,0.6582847,0.658284174,0.658277553,0.658286125,0.658280162,0.658290741,0.658278452,0.658283806,0.658282771,0.658283624,0.658289261,0.65827956,0.658278967,0.658287062,0.658281764,0.658284167,0.658277591,0.658283419,0.658283699,0.658282308,0.658282079,0.637511827,0.632738364,0.623719028,0.62792564,0.626651821,0.623773573,0.635016563,0.641635565,0.627153947,0.639160324,0.632563939,0.627729739,0.624618133,0.641657616,0.623258441,0.642961992,0.626148494,1,0.622802723,0.62507565,0.641125659,0.622010569,0.627423401,0.632182645,0.615794452,0.626721087,0.63938234,0.625451337,0.619035784,0.608530499,0.627025273,0.627376688,0.63088275,0.619737436,0.636622348,0.637550735,0.619257638,0.625714227,0.626754489,0.631686645,0.6293561,0.614156318,0.621619226,0.616737459,0.635766824,0.629978219,0.625229838,0.621995868,0.634204885,0.639298232,0.624893372,0.624769186,0.627540245,0.631675095,0.637372843,0.634879255,0.620830314,0.61896424,0.615506779,0.622899116,0.626101033,0.634482057,0.618711562,0.615253953,0.636805307,0.630773518,0.628293205,0.640043593,0.634012913,0.631638651,0.623485082,0.623133274,0.626069841,0.632260781,0.638137401,0.628002233,0.621208024,0.619411147,0.621379381,0.637220201,0.61272823,0.619614692,0.644077861,0.629257543,0.617066704
hu-en,0.62847982,0.607140136,0.613012465,0.621712405,0.61804264,0.625580547,0.61641841,0.624980093,0.625217283,0.624376133,0.62099755,0.624553894,0.62535556,0.630672844,0.624947341,0.623433916,0.634166376,0.634173909,0.634177607,0.634176138,0.634172918,0.634166844,0.634181166,0.634171984,0.634173552,0.634178196,0.634175402,0.634179653,0.634169427,0.63416443,0.634171501,0.634173457,0.634175571,0.634176241,0.634168847,0.634180551,0.634179923,0.634170732,0.634175051,0.634171459,0.634165256,0.63417114,0.63417455,0.634180848,0.634179347,0.63418017,0.634175938,0.634175134,0.63417357,0.634178427,0.634173105,0.634178096,0.634172933,0.634176183,0.634163451,0.634173467,0.634175039,0.634172022,0.634173225,0.634173193,0.63417117,0.634177434,0.634180655,0.634176362,0.634177314,0.634170527,0.634172689,0.634180301,0.634172101,0.634168305,0.634174663,0.634171782,0.63416831,0.634176551,0.634175437,0.634178232,0.634170764,0.634169724,0.634174547,0.634177935,0.634169243,0.634168237,0.634178049,0.634179312,0.634176972,0.634178732,0.634179011,0.634170113,0.634174356,0.634182618,0.634172915,0.634176059,0.634173631,0.634179773,0.634174199,0.634169752,0.634171665,0.634170681,0.634177156,0.634174447,0.634171661,0.634172399,0.634180119,0.634182579,0.634176882,0.634174889,0.63417507,0.634175254,0.63417564,0.634185702,0.634176032,0.634176208,0.634176899,0.63418035,0.634174091,0.634178633,0.634173491,0.626675274,0.626056573,0.623279249,0.622735152,0.622139479,0.623649251,0.624690324,0.630687936,0.621367606,0.628783384,0.625161748,0.616988827,0.615494229,0.624034781,0.617635871,0.625249346,0.623963641,0.622802723,1,0.620648507,0.628559442,0.613866954,0.622809501,0.626708171,0.613605215,0.619830567,0.627387885,0.620584129,0.618738726,0.604780775,0.617314234,0.62323663,0.621385666,0.617054361,0.627357984,0.626129659,0.618723919,0.624702579,0.620171311,0.619159704,0.622982674,0.610038695,0.618657799,0.61275566,0.625563199,0.619752007,0.617387929,0.614159276,0.629960204,0.630930324,0.619176858,0.618013221,0.625414333,0.619055455,0.628922334,0.62646935,0.619336064,0.608866262,0.609359333,0.623881445,0.625892256,0.621101832,0.611078,0.609969537,0.626084136,0.62694122,0.619818081,0.627065585,0.628633202,0.621213807,0.614980744,0.613806498,0.621299625,0.626803695,0.626115434,0.62265009,0.618886012,0.614500405,0.618976011,0.626197205,0.607647284,0.614070837,0.625827479,0.623618729,0.613599326
hy-en,0.626318666,0.601087718,0.620095314,0.623981918,0.631094894,0.63519171,0.601236466,0.624399483,0.622259356,0.625936356,0.620301032,0.623128447,0.626435111,0.629909371,0.621654391,0.63930808,0.633057563,0.633056884,0.633055909,0.633062045,0.633060308,0.633062409,0.633059408,0.633064959,0.633057286,0.633055969,0.633060207,0.633056099,0.633057042,0.633061554,0.633057362,0.633052824,0.633057949,0.633060056,0.633064947,0.633058796,0.633053009,0.633063971,0.633054276,0.633064283,0.633056223,0.633056018,0.633055945,0.633058491,0.633067373,0.633061405,0.633058573,0.63306277,0.633058871,0.633057919,0.633056331,0.633059844,0.633062545,0.633052702,0.633055831,0.633060985,0.633058781,0.633052741,0.633067233,0.63306037,0.633059315,0.63306087,0.633058922,0.633052943,0.633067061,0.633065397,0.633059101,0.633060124,0.633063086,0.633066679,0.633070442,0.633057014,0.633055876,0.633062003,0.633059243,0.633056947,0.633059629,0.633056615,0.633055675,0.63305672,0.633060603,0.633064886,0.633062934,0.6330518,0.633062609,0.633059579,0.633059481,0.633064115,0.633058198,0.633054795,0.633058951,0.633061556,0.633062045,0.633055281,0.633064487,0.633064364,0.63305672,0.633064121,0.633057726,0.633063969,0.633058506,0.6330619,0.633054427,0.633060814,0.633058847,0.633062099,0.633058076,0.633057253,0.633056243,0.633057472,0.633060369,0.633055613,0.633058884,0.633062473,0.63305964,0.63305728,0.633057412,0.627782714,0.624696796,0.620513732,0.622392327,0.635772716,0.620797997,0.624101171,0.628881062,0.624503701,0.631571761,0.624451632,0.613924892,0.618028514,0.632114115,0.620960321,0.632406554,0.623716562,0.62507565,0.620648507,1,0.629280336,0.613412982,0.625347918,0.625411291,0.620407379,0.630005956,0.626894152,0.648455934,0.629104337,0.573814047,0.610502348,0.636867294,0.623131801,0.625086981,0.625658577,0.64464494,0.615722123,0.625041203,0.620278604,0.619407292,0.627814847,0.593290543,0.628649671,0.606438558,0.626930291,0.619441395,0.630194526,0.614652785,0.627020132,0.628405313,0.62030284,0.615345079,0.624727454,0.621259783,0.625446634,0.625683091,0.627753713,0.602055589,0.59968546,0.621653804,0.623093145,0.625191358,0.61058626,0.608248142,0.627498271,0.634856696,0.622914287,0.62819731,0.625960963,0.622304095,0.607710209,0.617012439,0.636110486,0.641869644,0.626988686,0.62244922,0.627970207,0.613952434,0.621212293,0.633870484,0.603374071,0.620162527,0.629253645,0.628470224,0.61258967
id-en,0.639782747,0.614364464,0.620289945,0.630175309,0.622777737,0.632608294,0.629117922,0.633187258,0.633763577,0.644444997,0.632679935,0.629122991,0.639042409,0.644824324,0.633004086,0.632212182,0.662624972,0.662630036,0.662639242,0.662629494,0.662631907,0.662626346,0.662632639,0.662626855,0.662626892,0.66262656,0.662637973,0.662630838,0.662627959,0.662626845,0.662632962,0.662629788,0.662631497,0.662631496,0.662626665,0.662633564,0.662636797,0.662632309,0.662626954,0.66263541,0.66262733,0.66263174,0.662626332,0.662624757,0.662634297,0.662627757,0.662629837,0.662628249,0.662624776,0.662627679,0.662626341,0.662632427,0.662636465,0.662630143,0.662630458,0.662633629,0.6626364,0.662632618,0.66263136,0.662629035,0.662630636,0.662627189,0.662632304,0.662629323,0.662637595,0.662629791,0.662632335,0.662632642,0.662625838,0.662625599,0.662627399,0.662622496,0.662623563,0.662634842,0.66263042,0.662630769,0.662629224,0.662636338,0.662630427,0.662625107,0.662632362,0.662634306,0.662627993,0.662630135,0.662632134,0.66263246,0.662630163,0.662624479,0.662632717,0.662633783,0.662629012,0.662625756,0.662624367,0.662625837,0.662631492,0.662632323,0.662627449,0.662623997,0.662630214,0.662636855,0.662633375,0.662628005,0.662637402,0.662632306,0.662630759,0.662633668,0.662626631,0.662630287,0.662633632,0.662633352,0.662632322,0.662629709,0.662630915,0.662636459,0.662633106,0.662634152,0.66263427,0.640406393,0.636260586,0.629257958,0.632852981,0.633148481,0.629678462,0.633544933,0.645085659,0.632066837,0.641954696,0.634587026,0.632721612,0.628430838,0.640124701,0.629671717,0.644968948,0.633333855,0.641125659,0.628559442,0.629280336,1,0.625320547,0.631514249,0.636153438,0.620953408,0.630967549,0.697845004,0.628685135,0.624203542,0.616831804,0.630151115,0.63467413,0.633909597,0.624333603,0.640964224,0.640909605,0.624353074,0.631432001,0.631684518,0.632604724,0.631346553,0.619434164,0.626930094,0.623297811,0.781209797,0.632910882,0.629722182,0.624857112,0.640807223,0.644472101,0.630884779,0.629151157,0.632364361,0.633074857,0.641882368,0.636340818,0.624976084,0.620326661,0.62042919,0.627779591,0.631149067,0.636250577,0.621845071,0.618545294,0.640383598,0.633363623,0.633281396,0.684864986,0.639975929,0.636525226,0.627854165,0.627891336,0.63045425,0.641571513,0.647866803,0.632951654,0.624631768,0.624224507,0.625757299,0.643773848,0.616165491,0.621350264,0.644233899,0.633924456,0.621812445
ig-en,0.61880967,0.597553459,0.604852675,0.61563527,0.608717209,0.613942295,0.595457179,0.613319562,0.613746986,0.628723735,0.616145641,0.613086793,0.621143357,0.621264989,0.614195708,0.61619406,0.629273905,0.629272232,0.629278097,0.629278555,0.629276446,0.629274626,0.629278547,0.629269267,0.629270897,0.629270644,0.629277461,0.629279548,0.629265488,0.629280847,0.629277449,0.629279223,0.629267818,0.629268056,0.629280432,0.62927784,0.629282876,0.62927819,0.629270371,0.629278734,0.629275645,0.629270033,0.629272285,0.629275782,0.629280584,0.629278169,0.629270823,0.629268088,0.629270282,0.629266888,0.629278599,0.629275406,0.629269915,0.629270264,0.629277404,0.629274688,0.629271389,0.629267388,0.629276898,0.629273348,0.629276595,0.629276219,0.629275067,0.629267701,0.629279738,0.629274241,0.629275541,0.629277478,0.629274518,0.629277188,0.629273865,0.629270612,0.629271124,0.629275324,0.629271309,0.629278402,0.629275398,0.629274869,0.62927424,0.629275583,0.629282766,0.629274773,0.629272209,0.629273938,0.629282729,0.629281977,0.629272563,0.629280414,0.629277897,0.629277756,0.629275063,0.629279071,0.629280719,0.629268674,0.629267861,0.629275465,0.6292773,0.629272272,0.629275824,0.629279923,0.629278437,0.629279554,0.629269907,0.62926826,0.629282868,0.629271024,0.629273187,0.629272757,0.629273519,0.629276038,0.62927835,0.629274933,0.629272202,0.629271109,0.629276112,0.629274551,0.629277832,0.617217145,0.614854412,0.613437158,0.616238968,0.614611248,0.613291695,0.614416544,0.623404271,0.61773342,0.629865739,0.61478744,0.606625738,0.62166176,0.638475557,0.60636806,0.640523022,0.613029595,0.622010569,0.613866954,0.613412982,0.625320547,1,0.61629104,0.616051179,0.602752174,0.613918933,0.623643556,0.616024288,0.611244752,0.589238285,0.607488898,0.619834589,0.620159476,0.612880683,0.618837416,0.641403641,0.607168039,0.611631298,0.622144936,0.630190907,0.611212745,0.59623205,0.613256491,0.599180796,0.623699568,0.613153802,0.625320529,0.606120937,0.618781841,0.620980364,0.625725565,0.609147725,0.614529322,0.609553006,0.617897678,0.617349334,0.6080774,0.598895299,0.600083249,0.612020919,0.613085202,0.634610846,0.615228363,0.61046874,0.618804786,0.619430301,0.62812323,0.626626126,0.61853521,0.621880219,0.602107223,0.606827996,0.616927562,0.62212762,0.626116683,0.614811164,0.609105703,0.602463192,0.611467665,0.62840458,0.604238644,0.608968209,0.639787884,0.615535811,0.611217007
is-en,0.631405477,0.609027037,0.614611305,0.621677209,0.61944988,0.627094413,0.617174757,0.626051846,0.625169648,0.627823294,0.624348848,0.623191163,0.629310201,0.639174593,0.626173351,0.626410782,0.64044163,0.640443375,0.640448241,0.640456828,0.64044996,0.640445254,0.640453859,0.640448634,0.640442328,0.640448954,0.64044891,0.640450619,0.640452221,0.640445935,0.640441984,0.640440096,0.640444472,0.640444408,0.640451393,0.64045097,0.640453595,0.640441254,0.640445829,0.640444762,0.640448857,0.640445634,0.640444727,0.640449715,0.640456403,0.640455126,0.640448815,0.640448201,0.640449067,0.640445067,0.640447742,0.640446851,0.640453693,0.64044554,0.640441327,0.640444244,0.640449344,0.640442308,0.640454185,0.640450058,0.640444556,0.640446081,0.64044528,0.640442737,0.640448159,0.64044812,0.640442601,0.640445078,0.640448732,0.64045213,0.640448041,0.640448861,0.640436654,0.640448766,0.640446996,0.640449029,0.640451011,0.640448568,0.64044009,0.640448311,0.640446977,0.640443032,0.64044597,0.640447614,0.640451986,0.640455875,0.640444645,0.640453164,0.640449749,0.640450381,0.640442932,0.640450903,0.6404555,0.640443928,0.640443534,0.64044796,0.640450882,0.640445802,0.640440011,0.640447707,0.640448942,0.640454356,0.640446743,0.640446884,0.640448213,0.64044908,0.640443517,0.640446903,0.64044942,0.640457058,0.64044419,0.640446909,0.640449195,0.64044927,0.640449736,0.640445182,0.640443492,0.631350693,0.626818947,0.624127103,0.623516282,0.623652631,0.626063027,0.625799967,0.635593799,0.625904418,0.633926194,0.625897472,0.621710587,0.620623947,0.631695616,0.618875596,0.63255978,0.625769908,0.627423401,0.622809501,0.625347918,0.631514249,0.61629104,1,0.626776028,0.615931365,0.622131148,0.629474712,0.623566658,0.617766798,0.60463928,0.621564061,0.624809301,0.625096017,0.617641843,0.630857081,0.633233468,0.619094119,0.624533139,0.622257723,0.623285761,0.625052142,0.611001158,0.619609865,0.612489888,0.628125407,0.621546702,0.621078199,0.617066934,0.632308783,0.640030999,0.622815958,0.621969795,0.624403023,0.622206496,0.629439292,0.62705339,0.620145702,0.611440025,0.612153066,0.622020196,0.624322427,0.626137505,0.614804448,0.61236225,0.628977047,0.629548256,0.624128467,0.630945634,0.636451618,0.627640243,0.618121593,0.617788937,0.623174902,0.630762271,0.629245328,0.622785022,0.620279084,0.615113752,0.618771755,0.631774432,0.610369845,0.617724898,0.632392216,0.624876956,0.615506425
it-en,0.633628113,0.611677401,0.617048773,0.624066764,0.622049042,0.632666896,0.623362196,0.629893499,0.648145282,0.631456933,0.677338781,0.626926208,0.632122181,0.639545014,0.631512662,0.632120048,0.654125643,0.654118855,0.654119274,0.65411585,0.654114519,0.65412359,0.654122559,0.654126023,0.654115755,0.654122537,0.654117944,0.654121818,0.654121449,0.654123248,0.654123594,0.654122997,0.654119137,0.654120309,0.654118945,0.654116359,0.654124083,0.654123989,0.654117869,0.654122091,0.654122644,0.654118649,0.654116704,0.654125322,0.65412336,0.654124718,0.654121466,0.654130206,0.654127265,0.654123366,0.654116606,0.654119901,0.65412319,0.654116914,0.654122264,0.654118475,0.654120006,0.654125775,0.654126938,0.654119335,0.654119455,0.654129632,0.654119409,0.654124227,0.654119895,0.654116602,0.654123482,0.654129138,0.654124565,0.654119752,0.654116562,0.654124574,0.654120808,0.654124117,0.654118811,0.654134739,0.654125181,0.654122015,0.654118192,0.654126063,0.654120394,0.654128404,0.654119653,0.654126084,0.6541192,0.654129487,0.654118886,0.654117235,0.654120511,0.654130961,0.654125124,0.654121024,0.654126402,0.654122072,0.654123125,0.654117794,0.654117763,0.654123651,0.654124075,0.654130043,0.654126931,0.654120063,0.654116267,0.654118515,0.65412166,0.654126891,0.654124942,0.65411327,0.654117631,0.654121388,0.654124365,0.654122852,0.654118951,0.654125683,0.654124566,0.654126751,0.654123259,0.636770686,0.650419328,0.62544997,0.628851438,0.627225824,0.626437485,0.644631567,0.639143618,0.627283154,0.634242768,0.648394635,0.625709012,0.618848116,0.628353083,0.62363207,0.630118454,0.629637405,0.632182645,0.626708171,0.625411291,0.636153438,0.616051179,0.626776028,1,0.619079268,0.624096458,0.6340832,0.621903887,0.619272556,0.609342812,0.622888596,0.62674788,0.624788483,0.618875771,0.636230481,0.629005187,0.621532084,0.627168092,0.624629876,0.621233589,0.629759037,0.614282761,0.620500553,0.617374605,0.630756424,0.632777929,0.619627577,0.618414483,0.638045234,0.638234336,0.622381866,0.625014773,0.630447628,0.625902769,0.65216846,0.643683844,0.623751554,0.613955637,0.614944433,0.625790328,0.628365685,0.624177166,0.615160204,0.613366184,0.6366724,0.630493306,0.62476054,0.632492381,0.635315369,0.627926749,0.621842764,0.619452754,0.623728878,0.631394777,0.634863163,0.626001177,0.623415608,0.618909972,0.621776611,0.630508884,0.612871499,0.618317003,0.629947428,0.628145143,0.617636632
iw-en,0.617384536,0.601680935,0.615364786,0.612525266,0.617396047,0.624549973,0.601569222,0.615146697,0.615712715,0.616232555,0.614021734,0.613928382,0.618293387,0.621713459,0.614508468,0.621953977,0.625761087,0.625762725,0.625766018,0.625768554,0.625765478,0.625758734,0.625767877,0.625759174,0.62575988,0.625757403,0.625764021,0.625768663,0.625763108,0.625762614,0.625765773,0.625762407,0.625762535,0.625763652,0.62576019,0.62576341,0.62576651,0.625765284,0.625760765,0.625762843,0.625760295,0.625762372,0.625763202,0.625767475,0.625761745,0.625761701,0.625768076,0.625768124,0.625759,0.625761661,0.625765347,0.625758608,0.625762752,0.625760497,0.62576252,0.6257624,0.625758889,0.625770388,0.62576798,0.625757969,0.625759935,0.625762739,0.625770891,0.625764271,0.625767134,0.625761205,0.625763532,0.625764367,0.625760574,0.625763647,0.625764471,0.625760943,0.625756975,0.625766028,0.625756193,0.625763563,0.625756759,0.625768059,0.625761321,0.625763008,0.625761676,0.625764601,0.625765637,0.625771291,0.625763185,0.625759686,0.625761193,0.625762213,0.62575972,0.625761923,0.625768448,0.625763581,0.625761853,0.62576372,0.625766271,0.625758413,0.625753926,0.625763059,0.625760427,0.625760662,0.625764561,0.625764593,0.625777561,0.625776216,0.625754159,0.625770617,0.625762895,0.625767632,0.625763141,0.625770208,0.625758483,0.625765621,0.625764624,0.625767766,0.625763561,0.625764168,0.625768129,0.618620449,0.618447344,0.612928734,0.611380586,0.62343363,0.612285417,0.617480512,0.620530535,0.615625939,0.620410018,0.618310561,0.614100168,0.607508705,0.613058783,0.615216356,0.614805939,0.614820856,0.615794452,0.613605215,0.620407379,0.620953408,0.602752174,0.615931365,0.619079268,1,0.618336821,0.617824783,0.622923488,0.615500466,0.578394005,0.608698605,0.620898599,0.611590832,0.613304495,0.618399849,0.618777512,0.608955684,0.616695541,0.610742931,0.60683535,0.621169782,0.596198836,0.615596321,0.603281184,0.618590227,0.614307705,0.606395349,0.609313632,0.619551789,0.620933752,0.610071189,0.612384994,0.616399864,0.616864136,0.619920915,0.617911314,0.617591383,0.597791665,0.597999236,0.613378182,0.615127712,0.609864598,0.603381252,0.602708948,0.617493451,0.620259314,0.609363759,0.619324008,0.619382512,0.615499335,0.605260057,0.613390266,0.620117737,0.623511569,0.618177951,0.6136826,0.619113071,0.609917567,0.611541713,0.618691669,0.600862473,0.607536441,0.613697526,0.621901899,0.607033653
